epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.358,1.59849,1.81591,1.69558,0.78175,0.57609,0.67202,0.31991,1.82971,1.4962,1.86764,0.0670721,0.000332606,0.000332606
2,211.693,1.523,1.49678,1.65831,0.7791,0.63638,0.75237,0.3853,1.71692,2.14074,1.83227,0.0340391,0.000632975,0.000632975
3,314.527,1.48122,1.40063,1.62093,0.7684,0.69457,0.77854,0.40232,1.7099,1.20988,1.76319,0.000973124,0.000900344,0.000900344
4,417.028,1.44639,1.3163,1.59151,0.80794,0.74991,0.83053,0.38984,1.8307,1.17482,1.86316,0.0008515,0.0008515,0.0008515
5,519.968,1.38924,1.20429,1.53921,0.84988,0.79891,0.88204,0.45402,1.64386,1.03647,1.72561,0.000802,0.000802,0.000802
6,623.528,1.3553,1.15753,1.52802,0.85827,0.7767,0.88178,0.52937,1.40987,0.87499,1.50353,0.0007525,0.0007525,0.0007525
7,724.402,1.34022,1.10045,1.4984,0.87388,0.83602,0.90645,0.57912,1.29071,0.7998,1.40281,0.000703,0.000703,0.000703
8,827.642,1.29408,1.02514,1.4693,0.88493,0.8413,0.91848,0.55047,1.41913,0.7883,1.46888,0.0006535,0.0006535,0.0006535
9,928.697,1.28498,1.0151,1.45675,0.88494,0.86945,0.91768,0.54267,1.44194,0.77178,1.50052,0.000604,0.000604,0.000604
10,1029.16,1.25789,0.96934,1.43568,0.90161,0.8666,0.93339,0.6039,1.24414,0.69358,1.35797,0.0005545,0.0005545,0.0005545
11,1134.56,1.12818,0.76944,1.36853,0.90565,0.88152,0.93786,0.67728,0.95461,0.63047,1.19553,0.000505,0.000505,0.000505
12,1241.36,1.08966,0.71786,1.33765,0.91661,0.8841,0.94396,0.66748,0.98776,0.62295,1.20996,0.0004555,0.0004555,0.0004555
13,1344.74,1.05276,0.66374,1.30729,0.9048,0.86774,0.93927,0.69722,0.90145,0.58351,1.14673,0.000406,0.000406,0.000406
14,1451.38,1.03217,0.63409,1.2869,0.9195,0.89457,0.95443,0.70637,0.90725,0.55252,1.15834,0.0003565,0.0003565,0.0003565
15,1557.7,1.0138,0.60884,1.26568,0.90483,0.88804,0.94649,0.70406,0.8965,0.56034,1.15388,0.000307,0.000307,0.000307
16,1659.51,0.97461,0.57882,1.24517,0.91206,0.91313,0.95763,0.73356,0.84524,0.51873,1.10663,0.0002575,0.0002575,0.0002575
17,1762.24,0.95331,0.55495,1.21896,0.89617,0.91942,0.96106,0.72434,0.8689,0.51024,1.10656,0.000208,0.000208,0.000208
18,1867.9,0.94518,0.54405,1.21071,0.91089,0.93152,0.96668,0.72957,0.86961,0.49059,1.10332,0.0001585,0.0001585,0.0001585
19,1971.37,0.92189,0.51718,1.19979,0.8991,0.9413,0.9661,0.74528,0.8093,0.47729,1.07637,0.000109,0.000109,0.000109
20,2074.41,0.89142,0.49342,1.17551,0.91718,0.92691,0.96673,0.75307,0.81014,0.47439,1.07339,5.95e-05,5.95e-05,5.95e-05
